pais,country_slug,jugador,slug,posicion_listado,primary_position,secondary_positions,wikidata_id,wikidata_label,wikidata_description,enrichment_status,birth_date,height_cm,club,shirt_number,is_captain,attack,midfield,defense,goalkeeping,ovr
Corea Del Sur,corea-del-sur,Kim Tae-hyeon,kim-tae-hyeon,DEFENSORES,CB,"[""LB"",""RB""]",Q79904514,Kim Tae-hyeon,South Korean association football player,matched,2000-09-17,187,Ulsan HD FC,,false,34,53,78,3,72
Corea Del Sur,corea-del-sur,Park Jin-seob,park-jin-seob,DEFENSORES,CB,"[""LB"",""RB""]",Q69696842,Park Jin-seop,South Korean association football player (1995-),matched,1995-10-23,184,Jeonbuk Hyundai Motors FC,,false,32,51,76,1,70
Corea Del Sur,corea-del-sur,Lee Gi-hyuk,lee-gi-hyuk,DEFENSORES,CB,"[""LB"",""RB""]",,,,unmatched,,,,,false,29,48,73,1,67
Corea Del Sur,corea-del-sur,Lee Tae-seok,lee-tae-seok,DEFENSORES,CB,[],Q61100362,Lee Tae-seok,South Korean association football player (2002-),matched,2002-07-28,174,,,false,30,49,74,1,68
Corea Del Sur,corea-del-sur,Seol Young-woo,seol-young-woo,DEFENSORES,CB,[],Q97205258,Seol Young-woo,South Korean footballer,matched,1998-12-05,180,Ulsan HD FC,,false,36,55,80,5,74
Corea Del Sur,corea-del-sur,Jens Castrop,jens-castrop,DEFENSORES,CB,"[""LB"",""RB""]",Q98829565,Jens Castrop,German association football player (born 2003),matched,2003-07-29,178,VfL Borussia Mönchengladbach,,false,37,56,81,6,75
Corea Del Sur,corea-del-sur,Kim Moon-hwan,kim-moon-hwan,DEFENSORES,CB,"[""LB"",""RB""]",Q31146726,Kim Moon-hwan,South Korean footballer,matched,1995-08-01,173,Jeonbuk Hyundai Motors FC,,false,33,52,77,2,71
Corea Del Sur,corea-del-sur,Yang Hyun-jun,yang-hyun-jun,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q113127167,Yang Hyun-jun,South Korean association football player,matched,2002-05-25,179,Gangwon FC,,false,54,75,56,1,73
Corea Del Sur,corea-del-sur,Paik Seung-ho,paik-seung-ho,MEDIOCAMPISTAS,CM,[],Q12597820,Paik Seung-ho,South Korean association football player,matched,1997-03-17,180,Jeonbuk Hyundai Motors FC,,false,57,78,59,4,76
Corea Del Sur,corea-del-sur,Hwang In-beom,hwang-in-beom,MEDIOCAMPISTAS,CM,[],Q19603924,Hwang In-beom,South Korean association football player,matched,1996-09-20,177,FK Crvena zvezda,,false,62,83,64,9,81
Corea Del Sur,corea-del-sur,Kim Jin-gyu,kim-jin-gyu,MEDIOCAMPISTAS,CM,[],Q21916759,Kim Jin-gyu,South Korean footballer (born 1997),matched,1997-02-24,177,Jeonbuk Hyundai Motors FC,,false,54,75,56,1,73
Corea Del Sur,corea-del-sur,Bae Jun-ho,bae-jun-ho,MEDIOCAMPISTAS,CM,"[""CAM""]",Q118978780,Bae Jun-ho,South Korean footballer (born 2003),matched,2003-08-21,180,Stoke City F.C.,,false,59,80,61,6,78
Corea Del Sur,corea-del-sur,Eom Ji-sung,eom-ji-sung,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q105896342,Eom Ji-sung,South Korean association football player,matched,2002-05-09,178,Gwangju FC,,false,57,78,59,4,76
Corea Del Sur,corea-del-sur,Hwang Hee-chan,hwang-hee-chan,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q18551518,Hwang Hee-chan,South Korean association football player (born 1996),matched,1996-01-26,177,Wolverhampton Wanderers F.C.,,false,63,84,65,10,82
Corea Del Sur,corea-del-sur,Lee Dong-gyeong,lee-dong-gyeong,MEDIOCAMPISTAS,CM,[],Q62961021,Lee Dong-gyeong,South Korean footballer (1997-),matched,1997-09-20,175,Ulsan HD FC,,false,54,75,56,1,73
Corea Del Sur,corea-del-sur,Lee Jae-sung,lee-jae-sung,MEDIOCAMPISTAS,CM,[],Q16234741,Lee Jae-sung,South Korean footballer (born 1992),matched,1992-08-10,180,1. FSV Mainz 05,,false,59,80,61,6,78
Corea Del Sur,corea-del-sur,Lee Kang-in,lee-kang-in,MEDIOCAMPISTAS,CAM,[],Q16174734,Lee Kang-in,South Korean association football player (born 2001),matched,2001-02-19,173,Paris Saint-Germain FC,,false,79,88,47,11,84
Corea Del Sur,corea-del-sur,Oh Hyeon-gyu,oh-hyeon-gyu,DELANTEROS,ST,[],Q63344470,Oh Hyeon-gyu,South Korean footballer,matched,2001-04-12,183,Beşiktaş J.K. (Football),,false,86,61,29,6,81
Corea Del Sur,corea-del-sur,Son Heung-min,son-heung-min,DELANTEROS,ST,[],Q439722,Son Heung-min,South Korean association football player (born 1992),matched,1992-07-08,183,Los Angeles FC,,false,83,58,26,3,78
Corea Del Sur,corea-del-sur,Cho Gue-sung,cho-gue-sung,DELANTEROS,ST,[],Q69696822,Cho Gue-sung,South Korean footballer,matched,1998-01-25,188,FC Midtjylland,,false,91,66,34,11,86
República Checa,republica-checa,Lukas Hornicek,lukas-hornicek,ARQUEROS,GK,[],Q100271491,Lukáš Horníček,football player,matched,2002-07-13,194,,,false,9,19,31,80,73
República Checa,republica-checa,Matej Kovar,matej-kovar,ARQUEROS,GK,[],Q59914031,Matěj Kovář,Czech association football player,matched,2000-05-17,183,,,false,9,19,31,80,73
República Checa,republica-checa,Jindrich Stanek,jindrich-stanek,ARQUEROS,GK,[],Q56512017,Jindřich Staněk,Czech association football player,matched,1996-04-27,191,SK Slavia Prague,,false,13,23,35,84,77
República Checa,republica-checa,Vladimir Coufal,vladimir-coufal,DEFENSORES,CB,[],Q15113326,Vladimír Coufal,Czech association football player,matched,1992-08-22,174,FC Slovan Liberec,,false,34,53,78,3,72
República Checa,republica-checa,David Doudera,david-doudera,DEFENSORES,CB,"[""LB"",""RB""]",Q96613620,David Douděra,Czech association football player,matched,1998-05-31,175,SK Slavia Prague,,false,41,60,85,10,79
República Checa,republica-checa,Tomas Holes,tomas-holes,DEFENSORES,CB,[],Q13360752,Tomáš Holeš,Czech soccer player,matched,1993-03-31,180,SK Slavia Prague,,false,39,58,83,8,77
República Checa,republica-checa,Robin Hranac,robin-hranac,DEFENSORES,CB,[],Q107647351,Robin Hranáč,Czech footballer,matched,2000-01-29,190,FC Viktoria Plzeň,,false,38,57,82,7,76
República Checa,republica-checa,Stepan Chaloupek,stepan-chaloupek,DEFENSORES,CB,"[""LB"",""RB""]",Q114713721,Štěpán Chaloupek,Czech footballer,matched,2003-03-08,190,FK Teplice,,false,34,53,78,3,72
República Checa,republica-checa,David Jurásek,david-jurasek,DEFENSORES,CB,"[""LB"",""RB""]",Q96070453,David Jurásek,Czech footballer,matched,2000-08-07,183,,,false,32,51,76,1,70
República Checa,republica-checa,Ladislav Krejci,ladislav-krejci,DEFENSORES,CB,"[""LB"",""RB""]",Q27919903,Ladislav Krejčí,Czech association football player (born 1999),matched,1999-04-20,191,AC Sparta Prague,,false,39,58,83,8,77
República Checa,republica-checa,Jaroslav Zeleny,jaroslav-zeleny,DEFENSORES,CB,[],Q6160707,Jaroslav Zelený,Czech association football player,matched,1992-08-20,190,AC Sparta Prague,,false,41,60,85,10,79
República Checa,republica-checa,David Zima,david-zima,DEFENSORES,CB,[],Q84312754,David Zima,Czech association football player,matched,2000-11-08,190,SK Slavia Prague,,false,38,57,82,7,76
República Checa,republica-checa,Lukas Cerv,lukas-cerv,MEDIOCAMPISTAS,CM,[],Q97312966,Lukas Cerv,football player,matched,2001-04-10,182,FC Viktoria Plzeň,,false,57,78,59,4,76
República Checa,republica-checa,Vladimir Darida,vladimir-darida,MEDIOCAMPISTAS,CM,[],Q278239,Vladimír Darida,Czech footballer,matched,1990-08-08,170,FC Hradec Králové,,false,57,78,59,4,76
República Checa,republica-checa,Lukas Provod,lukas-provod,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q45288740,Lukáš Provod,Czech association football player,matched,1996-10-23,189,SK Slavia Prague,,false,61,82,63,8,80
República Checa,republica-checa,Michal Sadilek,michal-sadilek,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q28801942,Michal Sadílek,Czech association football player,matched,1999-05-31,169,Jong PSV,,false,60,81,62,7,79
República Checa,republica-checa,Hugo Sochurek,hugo-sochurek,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q138757935,Hugo Sochůrek,Czech association football player,matched,2008-06-07,,,,false,52,73,54,1,71
República Checa,republica-checa,Alexandr Sojka,alexandr-sojka,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q131432595,Alexandr Sojka,footballer,matched,2003-00-00,,,,false,51,72,53,1,70
República Checa,republica-checa,Tomas Soucek,tomas-soucek,MEDIOCAMPISTAS,CM,[],Q20860081,Tomáš Souček,Czech association football player (born 1995),matched,1995-02-27,192,SK Slavia Prague,,false,62,83,64,9,81
República Checa,republica-checa,Pavel Sulc,pavel-sulc,MEDIOCAMPISTAS,CM,[],Q60791524,Pavel Sulc,football player,matched,2000-12-29,177,FC Viktoria Plzeň,,false,57,78,59,4,76
República Checa,republica-checa,Denis Visinsky,denis-visinsky,MEDIOCAMPISTAS,CM,[],Q106061470,Denis Višinský,Czech footballer,matched,2003-03-21,178,SK Slavia Prague,,false,63,84,65,10,82
República Checa,republica-checa,Adam Hlozek,adam-hlozek,DELANTEROS,ST,[],Q59782306,Adam Hložek,Czech association football player,matched,2002-07-25,185,TSG 1899 Hoffenheim,,false,88,63,31,8,83
República Checa,republica-checa,Tomas Chory,tomas-chory,DELANTEROS,ST,[],Q17037384,Tomáš Chorý,Czech footballer,matched,1995-01-26,200,SK Slavia Prague,,false,88,63,31,8,83
República Checa,republica-checa,Mojmir Chytil,mojmir-chytil,DELANTEROS,ST,[],Q104488728,Mojmír Chytil,Czech association football player,matched,1999-04-29,187,SK Sigma Olomouc,,false,86,61,29,6,81
República Checa,republica-checa,Jan Kuchta,jan-kuchta,DELANTEROS,ST,[],Q45045358,Jan Kuchta,Czech association football player,matched,1997-01-08,184,FC Midtjylland,,false,90,65,33,10,85
República Checa,republica-checa,Patrik Schick,patrik-schick,DELANTEROS,ST,[],Q16910257,Patrik Schick,Czech footballer,matched,1996-01-24,187,Bayer 04 Leverkusen,,false,93,68,36,13,88
Sudáfrica,sudafrica,Ronwen Williams,ronwen-williams,ARQUEROS,GK,[],Q7366080,Ronwen Williams,South African footballer,matched,1992-01-21,184,SuperSport United F.C.,,false,7,17,29,78,71
Sudáfrica,sudafrica,Ricardo Goss,ricardo-goss,ARQUEROS,GK,[],Q58796031,Ricardo Goss,football player,matched,1994-04-02,181,,,false,9,19,31,80,73
Sudáfrica,sudafrica,Sipho Chaine,sipho-chaine,ARQUEROS,GK,[],Q58796434,Sipho Chaine,football player,matched,1996-12-14,,,,false,7,17,29,78,71
Sudáfrica,sudafrica,Khuliso Mudau,khuliso-mudau,DEFENSORES,CB,[],Q58810793,Khuliso Mudau,South African footballer,matched,1995-04-26,181,Mamelodi Sundowns F.C.,,false,34,53,78,3,72
Sudáfrica,sudafrica,Olwethu Makhanya,olwethu-makhanya,DEFENSORES,CB,[],Q122207713,Olwethu Makhanya,South African footballer,matched,2004-04-30,,,,false,30,49,74,1,68
Sudáfrica,sudafrica,Bradley Cross,bradley-cross,DEFENSORES,CB,"[""LB"",""RB""]",Q117790110,Bradley Cross,South African footballer,matched,2001-01-30,,,,false,30,49,74,1,68
Sudáfrica,sudafrica,Aubrey Modiba,aubrey-modiba,DEFENSORES,CB,[],Q26405966,Aubrey Modiba,South African footballer,matched,1995-07-22,160,Orlando Pirates F.C.,,false,33,52,77,2,71
Sudáfrica,sudafrica,Thabang Matuludi,thabang-matuludi,DEFENSORES,CB,"[""LB"",""RB""]",Q127324870,Thabang Matuludi,South African soccer player,matched,1999-01-14,,,,false,33,52,77,2,71
Sudáfrica,sudafrica,Nkosinathi Sibisi,nkosinathi-sibisi,DEFENSORES,CB,"[""LB"",""RB""]",Q58580967,Nkosinathi Sibisi,football player,matched,1995-05-22,172,,,false,29,48,73,1,67
Sudáfrica,sudafrica,Ime Okon,ime-okon,DEFENSORES,CB,[],Q127514195,Ime Okon,South African soccer player,matched,2004-02-20,187,,,false,33,52,77,2,71
Sudáfrica,sudafrica,Samukele Kabini,samukele-kabini,DEFENSORES,CB,"[""LB"",""RB""]",Q133794425,Samukele Kabini,South African professional Football player,matched,2004-03-15,181,,,false,29,48,73,1,67
Sudáfrica,sudafrica,Mbekezeli Mbokazi,mbekezeli-mbokazi,DEFENSORES,CB,"[""LB"",""RB""]",Q133464757,Mbekezeli Mbokazi,South African soccer player (born 2005),matched,2005-09-19,177,,,false,27,46,71,1,65
Sudáfrica,sudafrica,Kamogelo Sebelebele,kamogelo-sebelebele,DEFENSORES,CB,"[""LB"",""RB""]",Q137441719,Kamogelo Sebelebele,South African soccer player (born 2002),matched,2002-07-21,,,,false,33,52,77,2,71
Sudáfrica,sudafrica,Khulumani Ndamane,khulumani-ndamane,DEFENSORES,CB,"[""LB"",""RB""]",Q137299823,Khulumani Ndamane,South African soccer player,matched,2004-02-05,,,,false,29,48,73,1,67
Sudáfrica,sudafrica,Teboho Mokoena,teboho-mokoena,MEDIOCAMPISTAS,CM,[],Q58790870,Teboho Mokoena,football player,matched,1997-01-24,176,South Africa men's national association football team,,false,58,79,60,5,77
Sudáfrica,sudafrica,Thalente Mbatha,thalente-mbatha,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q130261099,Thalente Mbatha,South African soccer player (born 2000),matched,2000-03-06,,,,false,55,76,57,2,74
Sudáfrica,sudafrica,Jayden Adams,jayden-adams,MEDIOCAMPISTAS,CM,[],Q105520386,Jayden Adams,South African soccer player,matched,2001-05-05,175,Mamelodi Sundowns F.C.,,false,55,76,57,2,74
Sudáfrica,sudafrica,Sphephelo Sithole,sphephelo-sithole,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q104530871,Sphephelo Sithole,South African association football player,matched,1999-03-03,186,B-SAD,,false,60,81,62,7,79
Sudáfrica,sudafrica,Oswin Appollis,oswin-appollis,DELANTEROS,RW,[],Q64167435,Oswin Appollis,South African association footballer,matched,2001-08-25,171,Orlando Pirates F.C.,,false,79,67,32,3,77
Sudáfrica,sudafrica,Tshepang Moremi,tshepang-moremi,DELANTEROS,RW,[],Q125166783,Tshepang Moremi,South African soccer player,matched,2000-10-02,178,,,false,78,66,31,2,76
Sudáfrica,sudafrica,Evidence Makgopa,evidence-makgopa,DELANTEROS,ST,"[""LW"",""RW""]",Q100984327,Evidence Makgopa,South African soccer player,matched,2000-06-05,188,,,false,80,55,23,1,75
Sudáfrica,sudafrica,Lyle Foster,lyle-foster,DELANTEROS,ST,[],Q42725482,Lyle Foster,South African association football player,matched,2000-09-04,185,Orlando Pirates F.C.,,false,82,57,25,2,77
Sudáfrica,sudafrica,Iqraam Rayners,iqraam-rayners,DELANTEROS,ST,[],Q100565190,Iqraam Rayners,South African soccer player,matched,1995-12-19,176,Mamelodi Sundowns F.C.,,false,84,59,27,4,79
Sudáfrica,sudafrica,Relebohile Mofokeng,relebohile-mofokeng,DELANTEROS,RW,[],Q119413564,Relebohile Mofokeng,South African soccer player,matched,2004-10-23,161,Orlando Pirates F.C.,,false,79,67,32,3,77
Sudáfrica,sudafrica,Themba Zwane,themba-zwane,DELANTEROS,ST,"[""LW"",""RW""]",Q7781199,Themba Zwane,South African soccer player,matched,1989-08-03,170,Mamelodi Sundowns F.C.,,false,79,54,22,1,74
Sudáfrica,sudafrica,Thapelo Maseko,thapelo-maseko,DELANTEROS,RW,[],Q124173111,Thapelo Maseko,South African footballer (born 2002),matched,2003-11-11,,,,false,74,62,27,1,72
Canadá,canada,Maxime Crépeau,maxime-crepeau,ARQUEROS,GK,[],Q19866530,Maxime Crépeau,Canadian soccer player,matched,1994-05-11,182,CF Montréal,,false,9,19,31,80,73
Canadá,canada,Dayne St. Clair,dayne-st-clair,ARQUEROS,GK,[],Q60583915,Dayne St. Clair,Canadian soccer player,matched,1997-05-09,191,Inter Miami CF,,false,11,21,33,82,75
Canadá,canada,Owen Goodman,owen-goodman,ARQUEROS,GK,[],Q119079226,Owen Goodman,Canadian-English footballer (born 2003),matched,2003-11-27,,,,false,5,15,27,76,69
Canadá,canada,Alphonso Davies,alphonso-davies,DEFENSORES,CB,[],Q23540953,Alphonso Davies,Canadian footballer (born 2000),matched,2000-11-02,183,FC Bayern Munich,,false,43,62,87,12,81
Canadá,canada,Moïse Bombito,moise-bombito,DEFENSORES,CB,[],Q116146104,Moïse Bombito,Canadian soccer player,matched,2000-03-30,190,OGC Nice,,false,41,60,85,10,79
Canadá,canada,Alfie Jones,alfie-jones,DEFENSORES,CB,[],Q56222105,Alfie Jones,English association football player (born 1997),matched,1997-10-07,191,St. Mirren F.C.,,false,36,55,80,5,74
Canadá,canada,Derek Cornelius,derek-cornelius,DEFENSORES,CB,"[""LB"",""RB""]",Q29901014,Derek Cornelius,Canadian soccer player,matched,1997-11-25,187,Olympique de Marseille,,false,40,59,84,9,78
Canadá,canada,Luc de Fougerolles,luc-de-fougerolles,DEFENSORES,CB,[],Q121829403,Luc de Fougerolles,Canadian soccer player,matched,2005-10-12,180,Fulham F.C.,,false,39,58,83,8,77
Canadá,canada,Alistair Johnston,alistair-johnston,DEFENSORES,RB,[],Q81878309,Alistair Johnston,Canadian association football player,matched,1998-10-08,180,Celtic F.C.,,false,54,68,79,10,80
Canadá,canada,Richie Laryea,richie-laryea,DEFENSORES,CB,"[""LB"",""RB""]",Q22096162,Richie Laryea,Canadian soccer player,matched,1995-01-07,175,Toronto FC,,false,33,52,77,2,71
Canadá,canada,Niko Sigur,niko-sigur,DEFENSORES,CB,"[""LB"",""RB""]",Q117830854,Niko Sigur,Canadian soccer player (born 2003),matched,2003-09-09,180,,,false,32,51,76,1,70
Canadá,canada,Joel Waterman,joel-waterman,DEFENSORES,CB,[],Q63700064,Joel Waterman,Canadian soccer player,matched,1996-01-24,188,CF Montréal,,false,34,53,78,3,72
Canadá,canada,Mathieu Choinière,mathieu-choiniere,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q55760452,Mathieu Choinière,Canadian soccer player,matched,1999-02-07,175,Grasshopper Club Zürich,,false,60,81,62,7,79
Canadá,canada,Stephen Eustáquio,stephen-eustaquio,MEDIOCAMPISTAS,CM,[],Q35009041,Stephen Eustáquio,Canadian soccer player,matched,1996-12-21,178,S.C.U. Torreense,,false,57,78,59,4,76
Canadá,canada,Marcelo Flores,marcelo-flores,MEDIOCAMPISTAS,CM,[],Q100243106,Marcelo Flores,Canadian association football player (born 2003),matched,2003-10-01,164,Ipswich Town F.C.,,false,56,77,58,3,75
Canadá,canada,Ismaël Koné,ismael-kone,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",Q10557278,Ismaël Koné,French association football player,matched,1988-07-12,188,,,false,50,71,52,1,69
Canadá,canada,Jonathan Osorio,jonathan-osorio,MEDIOCAMPISTAS,CM,[],Q10554558,Jonathan Osorio,Canadian soccer player,matched,1992-06-12,175,Toronto FC,,false,53,74,55,1,72
Canadá,canada,Nathan Saliba,nathan-saliba,MEDIOCAMPISTAS,CM,[],Q116908746,Nathan Saliba,Canadian soccer player,matched,2004-08-29,180,,,false,55,76,57,2,74
Canadá,canada,Ali Ahmed,ali-ahmed,MEDIOCAMPISTAS,CM,"[""CDM"",""CAM""]",,,,unmatched,,,,,false,53,74,55,1,72
Canadá,canada,Jonathan David,jonathan-david,DELANTEROS,ST,[],Q56085180,Jonathan David,Canadian soccer player,matched,2000-01-14,175,Juventus FC,,false,83,58,26,3,78
Canadá,canada,Promise David,promise-david,DELANTEROS,ST,"[""LW"",""RW""]",,,,unmatched,,,,,false,80,55,23,1,75
Canadá,canada,Cyle Larin,cyle-larin,DELANTEROS,ST,[],Q16935084,Cyle Larin,Canadian association football player,matched,1995-04-17,188,Beşiktaş J.K. (Football),,false,83,58,26,3,78
Canadá,canada,Tani Oluwaseyi,tani-oluwaseyi,DELANTEROS,ST,[],Q113564288,Tani Oluwaseyi,Nigerian-Canadian soccer player,matched,2000-05-15,188,Villarreal CF,,false,90,65,33,10,85
Canadá,canada,Jacob Shaffelburg,jacob-shaffelburg,DELANTEROS,ST,[],Q64009768,Jacob Shaffelburg,Canadian soccer player,matched,1999-11-26,178,Toronto FC II,,false,86,61,29,6,81
Canadá,canada,Liam Millar,liam-millar,DELANTEROS,ST,[],Q50505969,Liam Millar,Canadian soccer player,matched,1999-09-27,181,Fulham F.C.,,false,87,62,30,7,82
Canadá,canada,Tajon Buchanan,tajon-buchanan,DELANTEROS,ST,[],Q62016194,Tajon Buchanan,Canadian soccer player,matched,1999-02-08,183,Canada Olympic soccer team,,false,87,62,30,7,82
Suiza,suiza,Marvin Keller,marvin-keller,ARQUEROS,GK,[],Q108698128,Marvin Keller,Swiss association football player,matched,2002-07-03,189,,,false,5,15,27,76,69
Suiza,suiza,Gregor Kobel,gregor-kobel,ARQUEROS,GK,[],Q36184031,Gregor Kobel,Swiss footballer (born 1997),matched,1997-12-06,194,Borussia Dortmund,,false,21,31,43,92,85
